Sales Person,Country,Product,Date,Amount,Boxes Shipped,Discount,Priority for shipping,,Unique Name ,Total sales Per name ,Unique Product,,Average per Product
Mallorie Waber,New Zealand,Organic Choco Syrup,1-Jul-22,"$5,075 ",256,253.75,needs Shipping,,,,,,
Husein Augar,USA,85% Dark Bars,8-Aug-22,$378 ,54,30.24,needs Shipping,,,,,,
Madelene Upcott,Australia,50% Dark Bites,25-Jul-22,"$7,350 ",6,367.5,Delay Shipping,,,,,,
Wilone O'Kielt,UK,Drinking Coco,18-May-22,"$3,388 ",55,169.4,needs Shipping,,,,,,
Camilla Castle,India,Peanut Butter Cubes,15-Jul-22,"$11,837 ",277,591.85,needs Shipping,,,,,,
Curtice Advani,India,70% Dark Bites,5-Jul-22,"$2,282 ",44,114.1,Delay Shipping,,,,,,
Mallorie Waber,USA,Manuka Honey Choco,4-Jul-22,"$5,425 ",96,434,needs Shipping,,,,,,
Dotty Strutley,UK,70% Dark Bites,20-Jun-22,"$1,267 ",216,63.35,needs Shipping,,,,,,
Gunar Cockshoot,Australia,Almond Choco,25-Jan-22,"$3,752 ",424,187.6,needs Shipping,,,,,,
Kaine Padly,New Zealand,Spicy Special Slims,1-Jul-22,"$7,728 ",37,386.4,Delay Shipping,,,,,,
Gigi Bohling,USA,50% Dark Bites,13-Apr-22,"$2,296 ",59,183.68,needs Shipping,,,,,,
Beverie Moffet,UK,Smooth Sliky Salty,4-May-22,"$4,403 ",76,220.15,needs Shipping,,,,,,
Beverie Moffet,Australia,Baker's Choco Chips,4-Aug-22,"$3,192 ",109,159.6,needs Shipping,,,,,,
Beverie Moffet,India,70% Dark Bites,1-Jun-22,$448 ,146,22.4,needs Shipping,,,,,,
Jehu Rudeforth,UK,Choco Coated Almonds,22-Apr-22,"$4,270 ",185,213.5,needs Shipping,,,,,,
Kaine Padly,USA,50% Dark Bites,3-Aug-22,$70 ,27,5.6,Delay Shipping,,,,,,
Ches Bonnell,USA,Orange Choco,10-Jun-22,"$1,743 ",69,139.44,needs Shipping,,,,,,
Gunar Cockshoot,UK,Manuka Honey Choco,27-Jun-22,"$6,762 ",46,338.1,Delay Shipping,,,,,,
Marney O'Breen,Australia,Smooth Sliky Salty,3-Jan-22,"$3,745 ",170,187.25,needs Shipping,,,,,,
Marney O'Breen,India,After Nines,11-Jul-22,"$2,639 ",179,131.95,needs Shipping,,,,,,
Ches Bonnell,New Zealand,Milk Bars,17-Aug-22,"$4,389 ",126,219.45,needs Shipping,,,,,,
Rafaelita Blaksland,USA,Fruit & Nut Bars,18-Jan-22,"$2,604 ",65,208.32,needs Shipping,,,,,,
Ches Bonnell,India,Organic Choco Syrup,8-Mar-22,"$16,569 ",99,828.45,needs Shipping,,,,,,
Mallorie Waber,Australia,Orange Choco,7-Mar-22,"$14,658 ",275,732.9,needs Shipping,,,,,,
Husein Augar,India,70% Dark Bites,9-May-22,"$6,454 ",157,322.7,needs Shipping,,,,,,
Barr Faughny,New Zealand,85% Dark Bars,23-May-22,"$2,100 ",157,105,needs Shipping,,,,,,
Madelene Upcott,UK,Caramel Stuffed Bars,15-Apr-22,$161 ,145,8.05,needs Shipping,,,,,,
Gigi Bohling,Australia,Drinking Coco,27-Jul-22,"$2,807 ",139,140.35,needs Shipping,,,,,,
Marney O'Breen,Canada,Choco Coated Almonds,22-Aug-22,"$2,639 ",406,131.95,needs Shipping,,,,,,
Ches Bonnell,USA,70% Dark Bites,11-May-22,"$4,571 ",122,365.68,needs Shipping,,,,,,
Madelene Upcott,India,Organic Choco Syrup,26-Jan-22,"$4,781 ",38,239.05,Delay Shipping,,,,,,
Barr Faughny,USA,50% Dark Bites,14-Apr-22,"$13,034 ",117,1042.72,needs Shipping,,,,,,
Dennison Crosswaite,New Zealand,Mint Chip Choco,5-Apr-22,"$6,454 ",417,322.7,needs Shipping,,,,,,
Marney O'Breen,New Zealand,Smooth Sliky Salty,14-Jun-22,"$8,484 ",57,424.2,needs Shipping,,,,,,
Brien Boise,Canada,Almond Choco,13-Apr-22,"$4,781 ",125,239.05,needs Shipping,,,,,,
Beverie Moffet,Australia,White Choc,27-Jun-22,"$2,240 ",166,112,needs Shipping,,,,,,
Dotty Strutley,Australia,Eclairs,26-Jan-22,"$6,979 ",3,348.95,Delay Shipping,,,,,,
Barr Faughny,UK,White Choc,5-Jul-22,"$1,652 ",72,82.6,needs Shipping,,,,,,
Beverie Moffet,Canada,Baker's Choco Chips,11-Jan-22,"$13,447 ",95,672.35,needs Shipping,,,,,,
Kelci Walkden,USA,White Choc,7-Mar-22,"$9,422 ",22,753.76,Delay Shipping,,,,,,
Kaine Padly,Canada,50% Dark Bites,4-Mar-22,"$8,687 ",100,434.35,needs Shipping,,,,,,
Karlen McCaffrey,Canada,Organic Choco Syrup,15-Jul-22,"$2,415 ",312,120.75,needs Shipping,,,,,,
Kaine Padly,UK,Peanut Butter Cubes,11-May-22,"$6,272 ",86,313.6,needs Shipping,,,,,,
Karlen McCaffrey,USA,Milk Bars,27-Jan-22,"$4,389 ",7,351.12,Delay Shipping,,,,,,
Karlen McCaffrey,India,Orange Choco,27-Jun-22,"$3,122 ",149,156.1,needs Shipping,,,,,,
Ches Bonnell,India,Smooth Sliky Salty,3-Aug-22,"$8,043 ",18,402.15,Delay Shipping,,,,,,
Wilone O'Kielt,New Zealand,Mint Chip Choco,19-Aug-22,"$11,662 ",242,583.1,needs Shipping,,,,,,
Wilone O'Kielt,Australia,Fruit & Nut Bars,15-Jun-22,$392 ,102,19.6,needs Shipping,,,,,,
Dennison Crosswaite,UK,Peanut Butter Cubes,7-Feb-22,"$8,925 ",158,446.25,needs Shipping,,,,,,
Karlen McCaffrey,Australia,Almond Choco,8-Jul-22,"$7,294 ",128,364.7,needs Shipping,,,,,,
Dennison Crosswaite,India,Milk Bars,21-Apr-22,"$1,526 ",96,76.3,needs Shipping,,,,,,
Ches Bonnell,UK,Mint Chip Choco,8-Apr-22,"$2,688 ",209,134.4,needs Shipping,,,,,,
Husein Augar,Australia,50% Dark Bites,19-Aug-22,"$14,889 ",52,744.45,needs Shipping,,,,,,
Jan Morforth,India,Fruit & Nut Bars,4-May-22,"$2,912 ",55,145.6,needs Shipping,,,,,,
Mallorie Waber,USA,85% Dark Bars,11-May-22,"$2,632 ",108,210.56,needs Shipping,,,,,,
Mallorie Waber,USA,Eclairs,22-Mar-22,"$6,328 ",51,506.24,needs Shipping,,,,,,
Dennison Crosswaite,Canada,Spicy Special Slims,10-Aug-22,"$2,527 ",216,126.35,needs Shipping,,,,,,
Dennison Crosswaite,USA,Fruit & Nut Bars,4-May-22,"$1,414 ",318,113.12,needs Shipping,,,,,,
Kelci Walkden,USA,99% Dark & Pure,18-Aug-22,"$7,714 ",238,617.12,needs Shipping,,,,,,
Dotty Strutley,Canada,Raspberry Choco,3-Aug-22,"$4,347 ",238,217.35,needs Shipping,,,,,,
Marney O'Breen,New Zealand,Milk Bars,14-Jan-22,"$7,490 ",315,374.5,needs Shipping,,,,,,
Madelene Upcott,Australia,Choco Coated Almonds,8-Apr-22,"$2,058 ",72,102.9,needs Shipping,,,,,,
Kelci Walkden,UK,Orange Choco,1-Aug-22,"$3,640 ",3,182,Delay Shipping,,,,,,
Dennison Crosswaite,Canada,Eclairs,15-Mar-22,$455 ,45,22.75,Delay Shipping,,,,,,
Karlen McCaffrey,India,Mint Chip Choco,15-Jul-22,"$10,990 ",184,549.5,needs Shipping,,,,,,
Barr Faughny,New Zealand,Almond Choco,13-Jan-22,"$5,558 ",127,277.9,needs Shipping,,,,,,
Mallorie Waber,Australia,85% Dark Bars,26-Aug-22,"$2,541 ",53,127.05,needs Shipping,,,,,,
Ches Bonnell,Canada,Eclairs,10-Jan-22,"$1,876 ",172,93.8,needs Shipping,,,,,,
Gigi Bohling,Australia,White Choc,11-May-22,"$5,523 ",87,276.15,needs Shipping,,,,,,
Beverie Moffet,New Zealand,85% Dark Bars,30-Aug-22,"$11,200 ",22,560,Delay Shipping,,,,,,
Kaine Padly,USA,Caramel Stuffed Bars,21-Jul-22,"$5,593 ",122,447.44,needs Shipping,,,,,,
Mallorie Waber,Australia,Almond Choco,1-Aug-22,"$7,882 ",125,394.1,needs Shipping,,,,,,
Brien Boise,Canada,85% Dark Bars,17-Feb-22,"$10,241 ",259,512.05,needs Shipping,,,,,,
Brien Boise,Australia,Drinking Coco,27-Jul-22,"$6,832 ",156,341.6,needs Shipping,,,,,,
Dotty Strutley,USA,Orange Choco,23-Feb-22,"$1,379 ",107,110.32,needs Shipping,,,,,,
Rafaelita Blaksland,Australia,50% Dark Bites,22-Mar-22,"$3,010 ",40,150.5,Delay Shipping,,,,,,
Dennison Crosswaite,India,99% Dark & Pure,23-Jun-22,"$6,888 ",311,344.4,needs Shipping,,,,,,
Curtice Advani,UK,White Choc,1-Feb-22,"$1,540 ",73,77,needs Shipping,,,,,,
Kelci Walkden,Australia,After Nines,2-Mar-22,"$6,916 ",288,345.8,needs Shipping,,,,,,
Gigi Bohling,UK,Fruit & Nut Bars,6-Apr-22,"$1,232 ",86,61.6,needs Shipping,,,,,,
Gunar Cockshoot,Australia,Raspberry Choco,17-Mar-22,$602 ,72,30.1,needs Shipping,,,,,,
Curtice Advani,UK,Fruit & Nut Bars,24-Jun-22,"$10,927 ",136,546.35,needs Shipping,,,,,,
Barr Faughny,Canada,50% Dark Bites,19-Jul-22,"$10,185 ",303,509.25,needs Shipping,,,,,,
Curtice Advani,USA,Spicy Special Slims,11-Jul-22,"$1,603 ",264,128.24,needs Shipping,,,,,,
Brien Boise,India,Almond Choco,13-Jan-22,"$2,170 ",218,108.5,needs Shipping,,,,,,
Oby Sorrel,New Zealand,Smooth Sliky Salty,7-Jul-22,"$8,673 ",60,433.65,needs Shipping,,,,,,
Jan Morforth,India,85% Dark Bars,25-May-22,"$4,760 ",418,238,needs Shipping,,,,,,
Marney O'Breen,India,Fruit & Nut Bars,13-Apr-22,"$4,753 ",151,237.65,needs Shipping,,,,,,
Andria Kimpton,New Zealand,50% Dark Bites,2-Mar-22,"$3,374 ",202,168.7,needs Shipping,,,,,,
Gunar Cockshoot,Canada,Raspberry Choco,23-Jun-22,"$2,058 ",126,102.9,needs Shipping,,,,,,
Kelci Walkden,USA,Drinking Coco,26-Jul-22,"$6,454 ",160,516.32,needs Shipping,,,,,,
Van Tuxwell,Canada,White Choc,22-Mar-22,$420 ,3,21,Delay Shipping,,,,,,
Rafaelita Blaksland,USA,Baker's Choco Chips,9-Jun-22,"$2,863 ",58,229.04,needs Shipping,,,,,,
Van Tuxwell,Australia,Caramel Stuffed Bars,17-May-22,"$5,936 ",59,296.8,needs Shipping,,,,,,
Ches Bonnell,New Zealand,Peanut Butter Cubes,4-Mar-22,$889 ,273,44.45,needs Shipping,,,,,,
Kelci Walkden,Canada,Milk Bars,7-Jul-22,"$16,016 ",28,800.8,Delay Shipping,,,,,,
Dennison Crosswaite,Canada,Choco Coated Almonds,13-Jan-22,"$10,479 ",118,523.95,needs Shipping,,,,,,
Curtice Advani,Australia,Almond Choco,13-Jul-22,"$2,912 ",75,145.6,needs Shipping,,,,,,
Madelene Upcott,Australia,85% Dark Bars,16-Jun-22,"$1,575 ",329,78.75,needs Shipping,,,,,,
Gigi Bohling,UK,50% Dark Bites,18-Jul-22,"$8,197 ",69,409.85,needs Shipping,,,,,,
Ches Bonnell,UK,Manuka Honey Choco,30-May-22,"$4,221 ",395,211.05,needs Shipping,,,,,,
Gigi Bohling,UK,70% Dark Bites,21-Jun-22,$840 ,81,42,needs Shipping,,,,,,
Jehu Rudeforth,Australia,Peanut Butter Cubes,24-Jun-22,"$5,691 ",38,284.55,Delay Shipping,,,,,,
Marney O'Breen,India,Eclairs,13-Jan-22,"$3,472 ",96,173.6,needs Shipping,,,,,,
Curtice Advani,Canada,Fruit & Nut Bars,4-Apr-22,"$4,193 ",195,209.65,needs Shipping,,,,,,
Kaine Padly,UK,Smooth Sliky Salty,8-Jun-22,"$9,016 ",554,450.8,needs Shipping,,,,,,
Karlen McCaffrey,Canada,Spicy Special Slims,2-Aug-22,"$6,328 ",47,316.4,Delay Shipping,,,,,,
Kelci Walkden,USA,Organic Choco Syrup,21-Jul-22,"$9,870 ",152,789.6,needs Shipping,,,,,,
Curtice Advani,India,Spicy Special Slims,20-Jun-22,$161 ,134,8.05,needs Shipping,,,,,,
Roddy Speechley,India,After Nines,22-Jun-22,"$2,576 ",112,128.8,needs Shipping,,,,,,
Camilla Castle,Australia,Caramel Stuffed Bars,2-May-22,"$3,178 ",16,158.9,Delay Shipping,,,,,,
Curtice Advani,Australia,99% Dark & Pure,7-Jan-22,"$4,676 ",84,233.8,needs Shipping,,,,,,
Mallorie Waber,UK,50% Dark Bites,21-Feb-22,"$5,502 ",99,275.1,needs Shipping,,,,,,
Ches Bonnell,Canada,Baker's Choco Chips,21-Mar-22,"$7,462 ",371,373.1,needs Shipping,,,,,,
Van Tuxwell,UK,Drinking Coco,4-Apr-22,"$5,803 ",136,290.15,needs Shipping,,,,,,
Gunar Cockshoot,Canada,Fruit & Nut Bars,24-Mar-22,"$13,888 ",203,694.4,needs Shipping,,,,,,
Gunar Cockshoot,New Zealand,Spicy Special Slims,28-Jun-22,"$6,867 ",183,343.35,needs Shipping,,,,,,
Gunar Cockshoot,Australia,Drinking Coco,14-Jan-22,"$2,317 ",195,115.85,needs Shipping,,,,,,
Karlen McCaffrey,New Zealand,Fruit & Nut Bars,7-Feb-22,"$1,218 ",135,60.9,needs Shipping,,,,,,
Dennison Crosswaite,New Zealand,Drinking Coco,11-Jan-22,"$4,109 ",197,205.45,needs Shipping,,,,,,
Jehu Rudeforth,India,99% Dark & Pure,25-Feb-22,"$1,953 ",242,97.65,needs Shipping,,,,,,
Dotty Strutley,Australia,Mint Chip Choco,1-Aug-22,"$6,790 ",25,339.5,Delay Shipping,,,,,,
Roddy Speechley,Australia,Mint Chip Choco,5-May-22,"$6,797 ",252,339.85,needs Shipping,,,,,,
Madelene Upcott,New Zealand,Raspberry Choco,18-May-22,"$9,226 ",415,461.3,needs Shipping,,,,,,
Dotty Strutley,New Zealand,Choco Coated Almonds,4-Jan-22,"$5,733 ",348,286.65,needs Shipping,,,,,,
Roddy Speechley,New Zealand,50% Dark Bites,9-May-22,"$4,312 ",211,215.6,needs Shipping,,,,,,
Rafaelita Blaksland,India,Smooth Sliky Salty,6-May-22,"$1,638 ",81,81.9,needs Shipping,,,,,,
Husein Augar,UK,White Choc,13-Jan-22,"$10,815 ",145,540.75,needs Shipping,,,,,,
Roddy Speechley,Australia,Almond Choco,24-Jun-22,"$4,466 ",74,223.3,needs Shipping,,,,,,
Van Tuxwell,USA,Caramel Stuffed Bars,14-Feb-22,$987 ,21,78.96,Delay Shipping,,,,,,
Camilla Castle,Australia,99% Dark & Pure,18-Jan-22,"$4,669 ",101,233.45,needs Shipping,,,,,,
Kaine Padly,India,Milk Bars,2-May-22,"$2,905 ",91,145.25,needs Shipping,,,,,,
Ches Bonnell,Australia,Smooth Sliky Salty,16-May-22,"$7,490 ",54,374.5,needs Shipping,,,,,,
Mallorie Waber,USA,Almond Choco,28-Jan-22,"$6,986 ",368,558.88,needs Shipping,,,,,,
Kaine Padly,Canada,99% Dark & Pure,24-Jun-22,"$1,288 ",409,64.4,needs Shipping,,,,,,
Oby Sorrel,UK,After Nines,18-Jul-22,"$2,345 ",104,117.25,needs Shipping,,,,,,
Gunar Cockshoot,UK,Eclairs,13-Apr-22,"$3,619 ",164,180.95,needs Shipping,,,,,,
Dotty Strutley,USA,Caramel Stuffed Bars,15-Apr-22,"$16,982 ",76,1358.56,needs Shipping,,,,,,
Jan Morforth,India,Peanut Butter Cubes,4-Jan-22,"$8,092 ",178,404.6,needs Shipping,,,,,,
Husein Augar,Australia,Eclairs,4-Jul-22,"$6,993 ",31,349.65,Delay Shipping,,,,,,
Beverie Moffet,USA,Smooth Sliky Salty,24-Mar-22,"$2,317 ",352,185.36,needs Shipping,,,,,,
Camilla Castle,Australia,Manuka Honey Choco,17-Mar-22,$637 ,169,31.85,needs Shipping,,,,,,
Oby Sorrel,Australia,Almond Choco,15-Feb-22,"$6,034 ",223,301.7,needs Shipping,,,,,,
Jan Morforth,USA,Orange Choco,29-Jun-22,$980 ,146,78.4,needs Shipping,,,,,,
Gigi Bohling,USA,Fruit & Nut Bars,24-May-22,"$2,821 ",112,225.68,needs Shipping,,,,,,
Mallorie Waber,UK,Milk Bars,10-Jan-22,"$3,563 ",284,178.15,needs Shipping,,,,,,
Curtice Advani,USA,Raspberry Choco,15-Mar-22,"$2,996 ",139,239.68,needs Shipping,,,,,,
Marney O'Breen,Canada,Milk Bars,8-Feb-22,"$2,436 ",309,121.8,needs Shipping,,,,,,
Brien Boise,India,Caramel Stuffed Bars,25-Feb-22,"$1,540 ",100,77,needs Shipping,,,,,,
Gunar Cockshoot,USA,Eclairs,3-May-22,"$6,916 ",42,553.28,Delay Shipping,,,,,,
Roddy Speechley,USA,Fruit & Nut Bars,14-Jun-22,"$5,509 ",24,440.72,Delay Shipping,,,,,,
Gunar Cockshoot,India,50% Dark Bites,9-Aug-22,"$12,992 ",83,649.6,needs Shipping,,,,,,
Wilone O'Kielt,New Zealand,Manuka Honey Choco,11-Jul-22,"$3,724 ",234,186.2,needs Shipping,,,,,,
Kaine Padly,UK,Manuka Honey Choco,14-Jan-22,"$7,133 ",118,356.65,needs Shipping,,,,,,
Van Tuxwell,Canada,Manuka Honey Choco,24-Feb-22,"$8,617 ",46,430.85,Delay Shipping,,,,,,
Wilone O'Kielt,New Zealand,Almond Choco,15-Mar-22,"$9,198 ",144,459.9,needs Shipping,,,,,,
Oby Sorrel,New Zealand,Baker's Choco Chips,25-Apr-22,"$11,823 ",47,591.15,Delay Shipping,,,,,,
Dennison Crosswaite,Australia,Organic Choco Syrup,10-May-22,"$5,775 ",41,288.75,Delay Shipping,,,,,,
Marney O'Breen,Australia,Spicy Special Slims,23-Jun-22,"$13,125 ",275,656.25,needs Shipping,,,,,,
Beverie Moffet,Canada,Smooth Sliky Salty,28-Feb-22,"$14,287 ",370,714.35,needs Shipping,,,,,,
Brien Boise,USA,Organic Choco Syrup,25-May-22,"$16,233 ",138,1298.64,needs Shipping,,,,,,
Roddy Speechley,New Zealand,Baker's Choco Chips,22-Feb-22,"$5,313 ",215,265.65,needs Shipping,,,,,,
Van Tuxwell,UK,85% Dark Bars,11-Jul-22,"$3,577 ",134,178.85,needs Shipping,,,,,,
Marney O'Breen,Canada,Spicy Special Slims,3-Jan-22,"$3,528 ",336,176.4,needs Shipping,,,,,,
Rafaelita Blaksland,New Zealand,70% Dark Bites,24-Aug-22,$679 ,280,33.95,needs Shipping,,,,,,
Beverie Moffet,USA,50% Dark Bites,28-Jul-22,"$2,450 ",352,196,needs Shipping,,,,,,
Brien Boise,USA,Mint Chip Choco,25-May-22,"$10,577 ",150,846.16,needs Shipping,,,,,,
Karlen McCaffrey,New Zealand,Eclairs,6-May-22,"$2,597 ",177,129.85,needs Shipping,,,,,,
Barr Faughny,India,Drinking Coco,28-Jan-22,"$2,219 ",142,110.95,needs Shipping,,,,,,
Marney O'Breen,UK,Orange Choco,6-Jun-22,"$11,319 ",12,565.95,Delay Shipping,,,,,,
Brien Boise,New Zealand,Baker's Choco Chips,12-Jul-22,"$5,978 ",24,298.9,Delay Shipping,,,,,,
Ches Bonnell,Canada,Spicy Special Slims,5-Aug-22,"$5,327 ",183,266.35,needs Shipping,,,,,,
Brien Boise,USA,Orange Choco,28-Jan-22,"$6,020 ",147,481.6,needs Shipping,,,,,,
Kaine Padly,India,Spicy Special Slims,31-Aug-22,"$5,614 ",137,280.7,needs Shipping,,,,,,
Mallorie Waber,USA,50% Dark Bites,19-Apr-22,"$1,736 ",13,138.88,Delay Shipping,,,,,,
Mallorie Waber,UK,Mint Chip Choco,29-Jun-22,"$6,384 ",2,319.2,Delay Shipping,,,,,,
Beverie Moffet,India,Choco Coated Almonds,24-Feb-22,"$3,577 ",261,178.85,needs Shipping,,,,,,
Madelene Upcott,UK,Smooth Sliky Salty,4-Mar-22,"$14,539 ",84,726.95,needs Shipping,,,,,,
Gigi Bohling,India,Eclairs,21-Jun-22,"$3,493 ",68,174.65,needs Shipping,,,,,,
Rafaelita Blaksland,Australia,Organic Choco Syrup,26-Jan-22,$994 ,105,49.7,needs Shipping,,,,,,
Oby Sorrel,New Zealand,White Choc,10-Jun-22,"$4,361 ",40,218.05,Delay Shipping,,,,,,
Andria Kimpton,UK,Drinking Coco,23-May-22,"$1,554 ",65,77.7,needs Shipping,,,,,,
Kelci Walkden,India,Milk Bars,15-Apr-22,$966 ,107,48.3,needs Shipping,,,,,,
Karlen McCaffrey,New Zealand,Caramel Stuffed Bars,31-Jan-22,"$5,334 ",227,266.7,needs Shipping,,,,,,
Andria Kimpton,New Zealand,Organic Choco Syrup,4-Mar-22,"$4,935 ",39,246.75,Delay Shipping,,,,,,
Barr Faughny,New Zealand,After Nines,19-Apr-22,"$10,024 ",84,501.2,needs Shipping,,,,,,
Beverie Moffet,UK,Almond Choco,16-May-22,"$2,506 ",100,125.3,needs Shipping,,,,,,
Oby Sorrel,Australia,Raspberry Choco,17-Feb-22,"$1,043 ",120,52.15,needs Shipping,,,,,,
Dennison Crosswaite,USA,Raspberry Choco,18-Jan-22,"$6,524 ",257,521.92,needs Shipping,,,,,,
Roddy Speechley,Canada,Orange Choco,9-Feb-22,"$8,148 ",85,407.4,needs Shipping,,,,,,
Mallorie Waber,Canada,Orange Choco,23-Mar-22,"$3,577 ",178,178.85,needs Shipping,,,,,,
Madelene Upcott,New Zealand,Caramel Stuffed Bars,1-Feb-22,"$3,374 ",151,168.7,needs Shipping,,,,,,
Mallorie Waber,India,Drinking Coco,7-Mar-22,"$3,948 ",142,197.4,needs Shipping,,,,,,
Ches Bonnell,UK,White Choc,3-Jan-22,"$3,269 ",226,163.45,needs Shipping,,,,,,
Ches Bonnell,USA,White Choc,11-Feb-22,"$5,271 ",341,421.68,needs Shipping,,,,,,
Dennison Crosswaite,New Zealand,Orange Choco,16-Mar-22,"$4,571 ",140,228.55,needs Shipping,,,,,,
Dotty Strutley,India,White Choc,15-Aug-22,"$12,327 ",330,616.35,needs Shipping,,,,,,
Gigi Bohling,India,Manuka Honey Choco,12-May-22,"$4,935 ",73,246.75,needs Shipping,,,,,,
Van Tuxwell,India,Spicy Special Slims,11-Apr-22,"$6,167 ",4,308.35,Delay Shipping,,,,,,
Jan Morforth,New Zealand,Mint Chip Choco,30-Jun-22,"$18,340 ",285,917,needs Shipping,,,,,,
Dotty Strutley,New Zealand,White Choc,15-Jun-22,"$7,014 ",60,350.7,needs Shipping,,,,,,
Rafaelita Blaksland,Canada,Caramel Stuffed Bars,1-Aug-22,"$7,119 ",101,355.95,needs Shipping,,,,,,
Kaine Padly,USA,Milk Bars,15-Jun-22,"$15,491 ",58,1239.28,needs Shipping,,,,,,
Brien Boise,India,After Nines,16-Jun-22,"$5,747 ",45,287.35,Delay Shipping,,,,,,
Oby Sorrel,New Zealand,Raspberry Choco,13-May-22,"$4,550 ",281,227.5,needs Shipping,,,,,,
Dennison Crosswaite,USA,Drinking Coco,10-May-22,"$2,191 ",138,175.28,needs Shipping,,,,,,
Oby Sorrel,India,Eclairs,25-Aug-22,"$5,663 ",322,283.15,needs Shipping,,,,,,
Ches Bonnell,New Zealand,Organic Choco Syrup,15-Jul-22,"$7,623 ",85,381.15,needs Shipping,,,,,,
Gigi Bohling,UK,Baker's Choco Chips,16-May-22,"$9,023 ",409,451.15,needs Shipping,,,,,,
Jan Morforth,Australia,50% Dark Bites,14-Jun-22,"$3,402 ",182,170.1,needs Shipping,,,,,,
Beverie Moffet,Australia,Smooth Sliky Salty,25-Jan-22,"$10,507 ",467,525.35,needs Shipping,,,,,,
Ches Bonnell,USA,Organic Choco Syrup,28-Jul-22,"$7,721 ",14,617.68,Delay Shipping,,,,,,
Brien Boise,Canada,Mint Chip Choco,28-Jan-22,"$5,033 ",178,251.65,needs Shipping,,,,,,
Kaine Padly,UK,Orange Choco,29-Jun-22,"$1,960 ",191,98,needs Shipping,,,,,,
Karlen McCaffrey,Australia,70% Dark Bites,24-Jun-22,$238 ,317,11.9,needs Shipping,,,,,,
Gunar Cockshoot,Canada,Mint Chip Choco,1-Jul-22,"$7,756 ",410,387.8,needs Shipping,,,,,,
Roddy Speechley,USA,Peanut Butter Cubes,25-Feb-22,"$1,736 ",137,138.88,needs Shipping,,,,,,
Curtice Advani,Canada,Smooth Sliky Salty,1-Aug-22,"$2,660 ",12,133,Delay Shipping,,,,,,
Oby Sorrel,Australia,Milk Bars,21-Jun-22,"$7,672 ",254,383.6,needs Shipping,,,,,,
Camilla Castle,New Zealand,Spicy Special Slims,25-Jan-22,"$11,564 ",24,578.2,Delay Shipping,,,,,,
Gigi Bohling,UK,Milk Bars,17-May-22,"$1,365 ",232,68.25,needs Shipping,,,,,,
Andria Kimpton,Australia,85% Dark Bars,23-Aug-22,"$4,186 ",233,209.3,needs Shipping,,,,,,
Camilla Castle,Australia,Smooth Sliky Salty,3-Mar-22,"$7,406 ",118,370.3,needs Shipping,,,,,,
Roddy Speechley,India,Caramel Stuffed Bars,30-May-22,"$8,911 ",543,445.55,needs Shipping,,,,,,
Karlen McCaffrey,USA,Drinking Coco,29-Jun-22,$112 ,223,8.96,needs Shipping,,,,,,
Andria Kimpton,Canada,Organic Choco Syrup,4-Jan-22,"$8,204 ",204,410.2,needs Shipping,,,,,,
Jehu Rudeforth,Australia,Drinking Coco,14-Jan-22,"$2,611 ",65,130.55,needs Shipping,,,,,,
Karlen McCaffrey,USA,Mint Chip Choco,15-Feb-22,"$15,652 ",53,1252.16,needs Shipping,,,,,,
Curtice Advani,New Zealand,Spicy Special Slims,10-Jan-22,"$4,074 ",469,203.7,needs Shipping,,,,,,
Madelene Upcott,USA,White Choc,4-May-22,"$12,250 ",213,980,needs Shipping,,,,,,
Andria Kimpton,USA,Spicy Special Slims,23-May-22,"$2,366 ",5,189.28,Delay Shipping,,,,,,
Barr Faughny,New Zealand,Fruit & Nut Bars,26-Apr-22,"$1,687 ",147,84.35,needs Shipping,,,,,,
Oby Sorrel,Canada,Organic Choco Syrup,5-Jul-22,"$1,232 ",74,61.6,needs Shipping,,,,,,
Madelene Upcott,UK,Organic Choco Syrup,21-Jul-22,"$6,965 ",163,348.25,needs Shipping,,,,,,
Dotty Strutley,USA,Mint Chip Choco,21-Feb-22,"$5,292 ",248,423.36,needs Shipping,,,,,,
Kelci Walkden,USA,Orange Choco,3-Feb-22,"$1,379 ",138,110.32,needs Shipping,,,,,,
Gigi Bohling,Australia,Caramel Stuffed Bars,8-Jul-22,"$8,001 ",151,400.05,needs Shipping,,,,,,
Mallorie Waber,India,50% Dark Bites,31-May-22,$588 ,139,29.4,needs Shipping,,,,,,
Van Tuxwell,New Zealand,Mint Chip Choco,27-Jun-22,"$4,046 ",103,202.3,needs Shipping,,,,,,
Van Tuxwell,India,50% Dark Bites,13-May-22,"$5,103 ",129,255.15,needs Shipping,,,,,,
Van Tuxwell,USA,Manuka Honey Choco,31-May-22,"$2,317 ",102,185.36,needs Shipping,,,,,,
Wilone O'Kielt,USA,Orange Choco,28-Feb-22,"$7,042 ",37,563.36,Delay Shipping,,,,,,
Barr Faughny,New Zealand,Eclairs,28-Mar-22,"$6,713 ",31,335.65,Delay Shipping,,,,,,
Gigi Bohling,USA,After Nines,14-Jan-22,"$1,848 ",227,147.84,needs Shipping,,,,,,
Barr Faughny,New Zealand,Mint Chip Choco,21-Feb-22,"$6,440 ",145,322,needs Shipping,,,,,,
Dennison Crosswaite,Canada,85% Dark Bars,1-Aug-22,"$10,885 ",90,544.25,needs Shipping,,,,,,
